23375 mmap(0x7327b6158000, 106496, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x5000) = 0x7327b6158000
23375 mmap(0x7327b6172000, 20480, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x1f000) = 0x7327b6172000
23375 mmap(0x7327b6177000, 561152, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x24000) = 0x7327b6177000
23375 mmap(NULL, 1121608, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7327b54ed000
23375 mmap(0x7327b54f3000, 65536, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x6000) = 0x7327b54f3000
23375 mmap(0x7327b5503000, 12288, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x16000) = 0x7327b5503000
23375 mmap(0x7327b5506000, 1019904, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x18000) = 0x7327b5506000
23375 mmap(NULL, 110348649, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7327a8c00000
23375 mmap(0x7327aed46000, 7852032, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x6145000) = 0x7327aed46000
23375 mmap(0x7327af4c3000, 498025, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7327af4c3000
23375 mmap(NULL, 3430960, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7327a8800000
23375 mmap(0x7327a88a9000, 1851392, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0xa9000) = 0x7327a88a9000
23375 mmap(0x7327a8a6d000, 647168, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x26d000) = 0x7327a8a6d000
23375 mmap(0x7327a8b0b000, 225280, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 7, 0x30a000) = 0x7327a8b0b000
