# tracer: nop
#
# entries-in-buffer/entries-written: 6493/6493   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
   kworker/u33:1-57411   [000] d.... 11183.240305: i915_reg_rw: write reg=0x68280, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240306: i915_reg_rw: write reg=0x68270, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240306: i915_reg_rw: write reg=0x68274, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [000] d..1. 11183.240307: i915_reg_rw: read reg=0x70000, len=4, val=(0x2c8, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240307: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4d, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240308: intel_pipe_update_end: dev 0000:00:02.0, pipe A, frame=671565, scanline=713
   kworker/u33:1-57411   [000] d..2. 11183.240310: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4d, 0x0)
   kworker/u33:1-57411   [000] d..3. 11183.240311: i915_reg_rw: read reg=0x70000, len=4, val=(0x2c8, 0x0)
   kworker/u33:1-57411   [000] d..2. 11183.240311: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4d, 0x0)
     ksoftirqd/7-60      [007] d.H2. 11183.243455: i915_reg_rw: write reg=0x20a8, len=4, val=(0xfffff6f6, 0x0)
     kworker/7:0-83001   [007] ..... 11183.243643: i915_request_retire: dev=1, engine=0:0, ctx=5, seqno=714742, tail=2992
     kworker/7:0-83001   [007] d.h3. 11183.243647: i915_reg_rw: write reg=0x20a8, len=4, val=(0xfffff6f7, 0x0)
     kworker/7:0-83001   [007] ..... 11183.243668: i915_reg_rw: read reg=0x8504, len=4, val=(0xfc004c3, 0x0)
          <idle>-0       [007] d.h1. 11183.245707: i915_reg_rw: read reg=0x44408, len=4, val=(0x1, 0x0)
          <idle>-0       [007] d.h1. 11183.245709: i915_reg_rw: write reg=0x44408, len=4, val=(0x1, 0x0)
          <idle>-0       [007] d.h3. 11183.245712: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4e, 0x0)
          <idle>-0       [007] d.h4. 11183.245713: i915_reg_rw: read reg=0x70000, len=4, val=(0x437, 0x0)
          <idle>-0       [007] d.h3. 11183.245714: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4e, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.245765: intel_frontbuffer_flush: dev 0000:00:02.0, frontbuffer_bits=0x00000001, origin=2
          bobide-73329   [007] ..... 11183.248052: i915_request_queue: dev=1, engine=0:0, ctx=127, seqno=108008, flags=0x0
          bobide-73329   [007] ..... 11183.248055: i915_request_add: dev=1, engine=0:0, ctx=127, seqno=108008, tail=2992
     kworker/7:0-83001   [007] ..... 11183.249808: i915_request_retire: dev=1, engine=0:0, ctx=127, seqno=108008, tail=12880
     ksoftirqd/7-60      [007] d.H2. 11183.253459: i915_reg_rw: write reg=0x20a8, len=4, val=(0xfffff6f6, 0x0)
     kworker/7:0-83001   [007] ..... 11183.253649: i915_request_retire: dev=1, engine=0:0, ctx=5, seqno=714743, tail=3128
     kworker/7:0-83001   [007] d.h3. 11183.253653: i915_reg_rw: write reg=0x20a8, len=4, val=(0xfffff6f7, 0x0)
     kworker/7:0-83001   [007] ..... 11183.253674: i915_reg_rw: read reg=0x8504, len=4, val=(0xfc004c3, 0x0)
     gnome-shell-14986   [007] ..... 11183.255653: i915_request_queue: dev=1, engine=0:0, ctx=30, seqno=1685154, flags=0x0
     gnome-shell-14986   [007] ..... 11183.255655: i915_request_add: dev=1, engine=0:0, ctx=30, seqno=1685154, tail=3128
     gnome-shell-14986   [007] ..... 11183.255804: i915_request_queue: dev=1, engine=0:0, ctx=30, seqno=1685156, flags=0x0
     gnome-shell-14986   [007] ..... 11183.255804: i915_request_add: dev=1, engine=0:0, ctx=30, seqno=1685156, tail=9568
   kworker/u33:1-57411   [007] d.h3. 11183.256320: i915_reg_rw: write reg=0x20a8, len=4, val=(0xfffff6f6, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.256330: i915_request_wait_begin: dev=1, engine=0:0, ctx=30, seqno=1685154, flags=0x2
          <idle>-0       [007] dNh3. 11183.257090: i915_reg_rw: write reg=0x20a8, len=4, val=(0xfffff6f7, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.257097: i915_request_wait_end: dev=1, engine=0:0, ctx=30, seqno=1685154, tail=2576
   kworker/u33:1-57411   [007] ..... 11183.257126: intel_plane_update_noarm: dev 0000:00:02.0, pipe A, plane 1A, frame=671566, scanline=724, format=XR30 little-endian (0x30335258), 1920.000000x1080.000000+0.000000+0.000000 -> 1920x1080+0+0
   kworker/u33:1-57411   [007] ...2. 11183.257128: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4e, 0x0)
   kworker/u33:1-57411   [007] d..3. 11183.257128: i915_reg_rw: read reg=0x70000, len=4, val=(0x2d3, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.257131: i915_reg_rw: write reg=0x70188, len=4, val=(0xf, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.257131: i915_reg_rw: write reg=0x7018c, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.257131: i915_reg_rw: write reg=0x70190, len=4, val=(0x437077f, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.257132: i915_reg_rw: write reg=0x70240, len=4, val=(0x80000016, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.257133: i915_reg_rw: write reg=0x70244, len=4, val=(0x8000c02b, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.257133: i915_reg_rw: write reg=0x70248, len=4, val=(0x8000c02f, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.257133: i915_reg_rw: write reg=0x7024c, len=4, val=(0x8001003b, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.257134: i915_reg_rw: write reg=0x70250, len=4, val=(0x8001805c, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.257134: i915_reg_rw: write reg=0x70254, len=4, val=(0x8001c06b, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.257134: i915_reg_rw: write reg=0x70258, len=4, val=(0x8001c06b, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.257135: i915_reg_rw: write reg=0x7025c, len=4, val=(0x8002007a, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.257136: i915_reg_rw: write reg=0x70268, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.257136: i915_reg_rw: write reg=0x7027c, len=4, val=(0x35b0000, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.257136: i915_reg_rw: write reg=0x70278, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [007] d.... 11183.257140: intel_pipe_update_start: dev 0000:00:02.0, pipe A, frame=671566, scanline=725, min=1073, max=1079
   kworker/u33:1-57411   [007] d..2. 11183.257140: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4e, 0x0)
   kworker/u33:1-57411   [007] d..3. 11183.257140: i915_reg_rw: read reg=0x70000, len=4, val=(0x2d4, 0x0)
   kworker/u33:1-57411   [007] d..1. 11183.257141: i915_reg_rw: read reg=0x70000, len=4, val=(0x2d4, 0x0)
   kworker/u33:1-57411   [007] d.... 11183.257142: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4e, 0x0)
   kworker/u33:1-57411   [007] d.... 11183.257143: intel_pipe_update_vblank_evaded: dev 0000:00:02.0, pipe A, frame=671566, scanline=725, min=1073, max=1079
   kworker/u33:1-57411   [007] d.... 11183.257144: i915_reg_rw: write reg=0x70030, len=4, val=(0x50, 0x0)
   kworker/u33:1-57411   [007] d.... 11183.257146: intel_plane_update_arm: dev 0000:00:02.0, pipe A, plane 1A, frame=671566, scanline=725, format=XR30 little-endian (0x30335258), 1920.000000x1080.000000+0.000000+0.000000 -> 1920x1080+0+0
   kworker/u33:1-57411   [007] d..2. 11183.257147: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4e, 0x0)
   kworker/u33:1-57411   [007] d..3. 11183.257147: i915_reg_rw: read reg=0x70000, len=4, val=(0x2d4, 0x0)
   kworker/u33:1-57411   [007] d.... 11183.257148: i915_reg_rw: write reg=0x70194, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [007] d.... 11183.257148: i915_reg_rw: write reg=0x70198, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [007] d.... 11183.257148: i915_reg_rw: write reg=0x701a0, len=4, val=(0xff000000, 0x0)
