ptr,size,timestamp_alloc,timestamp_free,lifetime_ns,source,active
0x5dedc24f1c90,40,485267948302,485267949764,1462,malloc,0
0x5dedc24effd0,72,485267948531,0,493846124,malloc,1
0x5dedc24f0020,40,485267948744,0,493847161,malloc,1
0x5dedc24d62a0,462,485267951492,485267955481,3989,malloc,0
0x5dedc24f0d60,40,485267951881,485267954702,2821,malloc,0
0x5dedc24f0050,462,485267952266,0,493847281,malloc,1
0x5dedc24f1c90,40,485267952503,485267954016,1513,malloc,0
0x5dedc24f0230,72,485267952742,0,493849191,malloc,1
0x5dedc24f0280,40,485267952980,0,493850248,malloc,1
0x5dedc24f2a90,522,485267956202,485267960516,4314,malloc,0
0x5dedc24f0d60,40,485267956710,485267959828,3118,malloc,0
0x5dedc24f2cb0,522,485267957055,0,494041008,malloc,1
0x5dedc24f1c90,40,485267957318,485267959133,1815,malloc,0
0x5dedc24f2ed0,72,485267957579,0,494058087,malloc,1
0x5dedc24f2f20,40,485267958026,0,494060182,malloc,1
0x5dedc24f3410,228,485267961383,485267968484,7101,malloc,0
0x5dedc24f0d60,31,485267961974,485267967737,5763,malloc,0
0x5dedc24f3500,228,485267962447,0,494062456,malloc,1
0x5dedc24f1c90,31,485267962720,485267967055,4335,malloc,0
0x5dedc24f35f0,72,485267963023,0,494066184,malloc,1
0x5dedc24f3640,31,485267963253,0,494067867,malloc,1
0x5dedc24f3670,232,485267964849,485269616848,1651999,malloc,0
0x5dedc24f3760,297,485267968966,485267973169,4203,malloc,0
0x5dedc24f0d60,31,485267969439,485267972547,3108,malloc,0
0x5dedc24f38a0,297,485267969905,0,494067201,malloc,1
0x5dedc24f1c90,31,485267970177,485267971954,1777,malloc,0
0x5dedc24f39e0,72,485267970508,0,494069004,malloc,1
0x5dedc24f3a30,31,485267970737,0,494070068,malloc,1
0x5dedc24f3a60,374,485267973724,485267978140,4416,malloc,0
0x5dedc24f0d60,31,485267974133,485267977506,3373,malloc,0
0x5dedc24f5140,374,485267974860,0,494069483,malloc,1
0x5dedc24f1c90,31,485267975144,485267976805,1661,malloc,0
0x5dedc24f52c0,72,485267975453,0,494071323,malloc,1
0x5dedc24f5310,31,485267975727,0,494072309,malloc,1
0x5dedc24f5340,184,485267978557,485267987991,9434,malloc,0
0x5dedc24f0d60,34,485267979010,485267987329,8319,malloc,0
0x5dedc24f5400,184,485267979398,0,494072274,malloc,1
0x5dedc24f1c90,34,485267979706,485267986599,6893,malloc,0
0x5dedc24f54c0,72,485267979954,0,494074245,malloc,1
0x5dedc24f5510,34,485267985262,0,494070199,malloc,1
